브랜드,제품군,시리얼넘버,RAM,상품명,화면 크기,해상도,CPU 모델,밝기,주사율,CPU 브랜드,CPU 클럭,GPU 타입,GPU 카드,GPU 코어 수,저장 용량,배터리,무게,os,용도
LG전자,2023 울트라PC,15UD40R-GX56K,16GB,LG전자 2023 울트라PC 15UD40R-GX56K WIN11 16GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX5RK,32GB,LG전자 2023 울트라PC 15UD50R-GX5RK WIN11 32GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX56K,8GB,LG전자 2023 울트라PC 15UD40R-GX56K,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GP50ML,16GB,LG전자 2023 울트라PC 15U50R-GP50ML 16GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX56K,16GB,LG전자 2023 울트라PC 15UD50R-GX56K 16GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX56K,32GB,LG전자 2023 울트라PC 15UD50R-GX56K 32GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR5CK,32GB,LG전자 2023 울트라PC 15U50R-GR5CK 32GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,UHD Graphics,1,512GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX5RK,16GB,LG전자 2023 울트라PC 15UD50R-GX5RK,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GR56K,16GB,LG전자 2023 울트라PC 15U40R-GR56K 16GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX56K,32GB,LG전자 2023 울트라PC 15UD50R-GX56K WIN11 32GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX36K,16GB,LG전자 2023 울트라PC 15UD40R-GX36K 16GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX56K,8GB,LG전자 2023 울트라PC 15UD50R-GX56K WIN11,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX56K,8GB,LG전자 2023 울트라PC 15UD50R-GX56K,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GR36K,8GB,LG전자 2023 울트라PC 15U40R-GR36K,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GR56K,8GB,LG전자 2023 울트라PC 15U40R-GR56K,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX56K,8GB,LG전자 2023 울트라PC 15UD40R-GX56K WIN11,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR30K,8GB,LG전자 2023 울트라PC 15U50R-GR30K,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR36K,8GB,LG전자 2023 울트라PC 15U50R-GR36K,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR56K,8GB,LG전자 2023 울트라PC 15U50R-GR56K,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX36K,8GB,LG전자 2023 울트라PC 15UD40R-GX36K,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GR30K,8GB,LG전자 2023 울트라PC 15U40R-GR30K,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX36K,8GB,LG전자 2023 울트라PC 15UD40R-GX36K WIN11,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,8GB,LG전자 2023 울트라PC 15UD50R-GX36K,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,8GB,LG전자 2023 울트라PC 15UD50R-GX36K WIN11,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR5CK,8GB,LG전자 2023 울트라PC 15U50R-GR5CK,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,UHD Graphics,1,512GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR3CK,8GB,LG전자 2023 울트라PC 15U50R-GR3CK,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX36K,32GB,LG전자 2023 울트라PC 15UD40R-GX36K 32GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR30K,16GB,LG전자 2023 울트라PC 15U50R-GR30K 16GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GRTWK,16GB,LG전자 2023 울트라PC 15U40R-GRTWK 16GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,32GB,LG전자 2023 울트라PC 15UD50R-GX36K WIN10 32GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX36K,32GB,LG전자 2023 울트라PC 15UD40R-GX36K WIN11 32GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR3CK,16GB,LG전자 2023 울트라PC 15U50R-GR3CK 16GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR30K,32GB,LG전자 2023 울트라PC 15U50R-GR30K 32GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX56K,16GB,LG전자 2023 울트라PC 15UD40R-GX56K WIN10 16GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,128GB,49Wh,1.75kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GP50ML,8GB,LG전자 2023 울트라PC 15U50R-GP50ML,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,64GB,LG전자 2023 울트라PC 15UD50R-GX36K 64GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GRTWK,8GB,LG전자 2023 울트라PC 15U40R-GRTWK,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GR56K,32GB,LG전자 2023 울트라PC 15U40R-GR56K 32GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,8GB,LG전자 2023 울트라PC 15UD50R-GX36K WIN10,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX56K,8GB,LG전자 2023 울트라PC 15UD40R-GX56K WIN10,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,16GB,LG전자 2023 울트라PC 15UD50R-GX36K WIN10 16GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15U40R-GR36K,32GB,LG전자 2023 울트라PC 15U40R-GR36K 32GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX36K,16GB,LG전자 2023 울트라PC 15UD40R-GX36K WIN10 16GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR36K,32GB,LG전자 2023 울트라PC 15U50R-GR36K 32GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GRTWK,32GB,LG전자 2023 울트라PC 15U40R-GRTWK 32GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GR30K,16GB,LG전자 2023 울트라PC 15U40R-GR30K 16GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX56K,32GB,LG전자 2023 울트라PC 15UD40R-GX56K WIN10 32GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,128GB,49Wh,1.75kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX3EK,16GB,LG전자 2023 울트라PC 15UD40R-GX3EK WIN11 16GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX36K,8GB,LG전자 2023 울트라PC 15UD40R-GX36K WIN10,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX56K,32GB,LG전자 2023 울트라PC 15UD50R-GX56K WIN10 32GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GP50ML,32GB,LG전자 2023 울트라PC 15U50R-GP50ML 32GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX56K,16GB,LG전자 2023 울트라PC 15UD50R-GX56K WIN10 16GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX56K,8GB,LG전자 2023 울트라PC 15UD50R-GX56K WIN10,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,64GB,LG전자 2023 울트라PC 15UD50R-GX36K WIN11 64GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX36K,32GB,LG전자 2023 울트라PC 15UD40R-GX36K WIN10 32GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR3CK,32GB,LG전자 2023 울트라PC 15U50R-GR3CK 32GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX3EK,16GB,LG전자 2023 울트라PC 15UD40R-GX3EK 16GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GR30K,32GB,LG전자 2023 울트라PC 15U40R-GR30K 32GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX3EK,8GB,LG전자 2023 울트라PC 15UD40R-GX3EK,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15UG40R-GR55KN,64GB,LG전자 2023 울트라PC 15UG40R-GR55KN 64GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,512GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UG40R-GR55KN,8GB,LG전자 2023 울트라PC 15UG40R-GR55KN,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,512GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GP7KL,32GB,LG전자 2023 울트라PC 15U50R-GP7KL 32GB램,15.6인치,1920x1080,i7-1355U,정보없음,정보없음,인텔,1.7GHz,내장그래픽,Iris Xe,1,512GB,49Wh,1.8kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GP7KL,16GB,LG전자 2023 울트라PC 15U50R-GP7KL,15.6인치,1920x1080,i7-1355U,정보없음,정보없음,인텔,1.7GHz,내장그래픽,Iris Xe,1,512GB,49Wh,1.8kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GP7KL,64GB,LG전자 2023 울트라PC 15U50R-GP7KL 64GB램,15.6인치,1920x1080,i7-1355U,정보없음,정보없음,인텔,1.7GHz,내장그래픽,Iris Xe,1,512GB,49Wh,1.8kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15U50R-SP7KL,32GB,LG전자 2023 울트라PC 15U50R-SP7KL 32GB램,15.6인치,1920x1080,i7-1355U,정보없음,정보없음,인텔,1.7GHz,외장그래픽,MX550,1,256GB,49Wh,1.8kg,윈도우11프로,['그래픽작업용']
LG전자,2023 울트라PC,15UD40R-GX56K,24GB,LG전자 2023 울트라PC 15UD40R-GX56K WIN11 24GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GP30ML,16GB,LG전자 2023 울트라PC 15U50R-GP30ML 16GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15U50R-SP7KL,16GB,LG전자 2023 울트라PC 15U50R-SP7KL 16GB램,15.6인치,1920x1080,i7-1355U,정보없음,정보없음,인텔,1.7GHz,외장그래픽,MX550,1,256GB,49Wh,1.8kg,윈도우11프로,['그래픽작업용']
LG전자,2023 울트라PC,15UD40R-GX3EK,32GB,LG전자 2023 울트라PC 15UD40R-GX3EK 32GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX3EK,16GB,LG전자 2023 울트라PC 15UD40R-GX3EK WIN10 16GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GP30ML,8GB,LG전자 2023 울트라PC 15U50R-GP30ML,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GP50ML,32GB,LG전자 2023 울트라PC 15U40R-GP50ML 32GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX3EK,32GB,LG전자 2023 울트라PC 15UD40R-GX3EK WIN11 32GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15U40R-GP50ML,8GB,LG전자 2023 울트라PC 15U40R-GP50ML,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11프로,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX3EK,8GB,LG전자 2023 울트라PC 15UD40R-GX3EK WIN10,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우10(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX3EK,8GB,LG전자 2023 울트라PC 15UD40R-GX3EK WIN11,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UG40R-GR55KN,32GB,LG전자 2023 울트라PC 15UG40R-GR55KN 32GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,512GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U50R-SP70ML,8GB,LG전자 2023 울트라PC 15U50R-SP70ML,15.6인치,1920x1080,i7-1355U,정보없음,정보없음,인텔,1.7GHz,외장그래픽,MX550,1,256GB,49Wh,1.8kg,윈도우11프로,['그래픽작업용']
LG전자,2023 울트라PC,15U50R-SP7KL,8GB,LG전자 2023 울트라PC 15U50R-SP7KL,15.6인치,1920x1080,i7-1355U,정보없음,정보없음,인텔,1.7GHz,외장그래픽,MX550,1,256GB,49Wh,1.8kg,윈도우11프로,['그래픽작업용']
LG전자,2023 울트라PC,15UD50R-GX36K,16GB,LG전자 2023 울트라PC 15UD50R-GX36K 16GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX56K,16GB,LG전자 2023 울트라PC 15UD40R-GX56K 16GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX36K,16GB,LG전자 2023 울트라PC 15UD40R-GX36K WIN11 16GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR56K,16GB,LG전자 2023 울트라PC 15U50R-GR56K 16GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,16GB,LG전자 2023 울트라PC 15UD50R-GX36K WIN11 16GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR5CK,16GB,LG전자 2023 울트라PC 15U50R-GR5CK 16GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,UHD Graphics,1,512GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U40R-GR36K,16GB,LG전자 2023 울트라PC 15U40R-GR36K 16GB램,15.6인치,1920x1080,7330U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR36K,16GB,LG전자 2023 울트라PC 15U50R-GR36K 16GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15U50R-GR56K,32GB,LG전자 2023 울트라PC 15U50R-GR56K 32GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Xe,1,256GB,49Wh,1.8kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX56K,32GB,LG전자 2023 울트라PC 15UD40R-GX56K 32GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15UD40R-GX56K,32GB,LG전자 2023 울트라PC 15UD40R-GX56K WIN11 32GB램,15.6인치,1920x1080,7530U,정보없음,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,49Wh,1.75kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,32GB,LG전자 2023 울트라PC 15UD50R-GX36K WIN11 32GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,윈도우11(설치),['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX5RK,32GB,LG전자 2023 울트라PC 15UD50R-GX5RK 32GB램,15.6인치,1920x1080,i5-1335U,정보없음,정보없음,인텔,1.3GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC,15UD50R-GX36K,32GB,LG전자 2023 울트라PC 15UD50R-GX36K 32GB램,15.6인치,1920x1080,i3-1315U,정보없음,정보없음,인텔,1.2GHz,내장그래픽,UHD Graphics,1,256GB,49Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2023 울트라PC 엣지,16U70R-GA56K,16GB,LG전자 2023 울트라PC 엣지 16U70R-GA56K,16인치,1920x1200,7530U,250nit,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,72Wh,1.6kg,윈도우11홈,['사무/인강용']
LG전자,2023 울트라PC 엣지,16U70R-HA56K,16GB,LG전자 2023 울트라PC 엣지 16U70R-HA56K,16인치,2560x1600,7530U,350nit,정보없음,AMD,정보없음,내장그래픽,Radeon Graphics,1,256GB,72Wh,1.47kg,윈도우11홈,['사무/인강용']
